COPY a[i] = b[i] + c[i], 8 byte/it, 0 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.38622117 | 11120.486 |   12.66 | 42421.3 |  1390.1 | 4194304 |  128 
         1.5 |  0.28429103 | 11330.732 |   12.43 | 43223.3 |  1416.3 | 2097152 |  192 
         2.6 |  0.23655295 | 11347.796 |   12.41 | 43288.4 |  1418.5 | 1048576 |  320 
         3.1 |  0.28090906 | 11467.147 |   12.28 | 43743.7 |  1433.4 | 1048576 |  384 
         4.1 |  0.37296677 | 11515.684 |   12.23 | 43928.8 |  1439.5 | 1048576 |  512 
         5.6 |  0.25491595 | 11583.387 |   12.16 | 44187.1 |  1447.9 | 524288 |  704 
         7.2 |  0.32312489 | 11630.476 |   12.11 | 44366.7 |  1453.8 | 524288 |  896 
         9.2 |  0.20736790 | 11650.401 |   12.09 | 44442.8 |  1456.3 | 262144 | 1152 
        12.3 |  0.32930899 |  9781.772 |   14.39 | 37314.5 |  1222.7 | 262144 | 1536 
        15.9 |  0.22607994 |  9201.943 |   15.30 | 35102.6 |  1150.2 | 131072 | 1984 
        20.5 |  0.29634809 |  9058.113 |   15.54 | 34554.0 |  1132.3 | 131072 | 2560 
        27.1 |  0.38786912 |  9170.026 |   15.35 | 34980.9 |  1146.3 | 131072 | 3392 
        35.3 |  0.25162101 |  9201.361 |   15.30 | 35100.4 |  1150.2 |  65536 | 4416 
        45.6 |  0.33232307 |  8986.269 |   15.67 | 34279.9 |  1123.3 |  65536 | 5696 
        59.4 |  0.21603084 |  9008.700 |   15.63 | 34365.5 |  1126.1 |  32768 | 7424 
        77.3 |  0.30726790 |  8244.791 |   17.08 | 31451.4 |  1030.6 |  32768 | 9664 
