COPY a[i] = b[i] + c[i], 8 byte/it, 0 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.30906105 | 13896.825 |   10.13 | 53012.2 |  1737.1 | 4194304 |  128 
         1.5 |  0.23083282 | 13954.799 |   10.09 | 53233.3 |  1744.3 | 2097152 |  192 
         2.6 |  0.38157415 | 14069.897 |   10.01 | 53672.4 |  1758.7 | 2097152 |  320 
         3.1 |  0.22701907 | 14189.228 |    9.92 | 54127.6 |  1773.7 | 1048576 |  384 
         4.1 |  0.30428219 | 14115.080 |    9.98 | 53844.8 |  1764.4 | 1048576 |  512 
         5.6 |  0.20914507 | 14118.382 |    9.97 | 53857.4 |  1764.8 | 524288 |  704 
         7.2 |  0.26780796 | 14032.803 |   10.03 | 53530.9 |  1754.1 | 524288 |  896 
         9.2 |  0.34416103 | 14039.469 |   10.03 | 53556.3 |  1754.9 | 524288 | 1152 
        12.3 |  0.28918099 | 11139.133 |   12.64 | 42492.4 |  1392.4 | 262144 | 1536 
        15.9 |  0.20160604 | 10319.010 |   13.64 | 39363.9 |  1289.9 | 131072 | 1984 
        20.5 |  0.25836301 | 10389.856 |   13.55 | 39634.2 |  1298.7 | 131072 | 2560 
        27.1 |  0.34356403 | 10352.567 |   13.60 | 39491.9 |  1294.1 | 131072 | 3392 
        35.3 |  0.22311902 | 10376.775 |   13.57 | 39584.3 |  1297.1 |  65536 | 4416 
        45.6 |  0.28788710 | 10373.318 |   13.57 | 39571.1 |  1296.7 |  65536 | 5696 
        59.4 |  0.37390709 | 10409.843 |   13.53 | 39710.4 |  1301.2 |  65536 | 7424 
        77.3 |  0.27471709 |  9221.704 |   15.27 | 35178.0 |  1152.7 |  32768 | 9664 
