COPY a[i] = b[i] + c[i], 8 byte/it, 0 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.32977200 | 52096.204 |    3.07 | 198731.2 |  6512.0 | 16777216 |  128 
         1.5 |  0.24565005 | 52452.266 |    3.05 | 200089.5 |  6556.5 | 8388608 |  192 
         2.6 |  0.20358515 | 52741.658 |    3.03 | 201193.5 |  6592.7 | 4194304 |  320 
         3.1 |  0.24398303 | 52810.648 |    3.03 | 201456.6 |  6601.3 | 4194304 |  384 
         4.1 |  0.32986307 | 52081.820 |    3.07 | 198676.4 |  6510.2 | 4194304 |  512 
         5.6 |  0.23465705 | 50333.711 |    3.18 | 192007.9 |  6291.7 | 2097152 |  704 
         7.2 |  0.29511595 | 50937.219 |    3.14 | 194310.1 |  6367.2 | 2097152 |  896 
         9.2 |  0.37701797 | 51263.744 |    3.12 | 195555.7 |  6408.0 | 2097152 | 1152 
        12.3 |  0.24995089 | 25774.867 |    6.21 | 98323.3 |  3221.9 | 524288 | 1536 
        15.9 |  0.37251711 | 22338.569 |    7.16 | 85214.9 |  2792.3 | 524288 | 1984 
        20.5 |  0.43371701 | 24756.738 |    6.46 | 94439.5 |  3094.6 | 524288 | 2560 
        27.1 |  0.26006007 | 27353.448 |    5.85 | 104345.1 |  3419.2 | 262144 | 3392 
        35.3 |  0.36174297 | 25601.114 |    6.25 | 97660.5 |  3200.1 | 262144 | 4416 
        45.6 |  0.22793198 | 26203.822 |    6.11 | 99959.6 |  3275.5 | 131072 | 5696 
        59.4 |  0.28438807 | 27373.259 |    5.85 | 104420.7 |  3421.7 | 131072 | 7424 
        77.3 |  0.23015714 | 22014.174 |    7.27 | 83977.4 |  2751.8 |  65536 | 9664 
