COPY a[i] = b[i] + c[i], 8 byte/it, 0 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.25698185 | 33426.231 |    4.79 | 127511.0 |  4178.3 | 8388608 |  128 
         1.5 |  0.36479402 | 35321.034 |    4.53 | 134739.1 |  4415.1 | 8388608 |  192 
         2.6 |  0.27217293 | 39450.721 |    4.06 | 150492.6 |  4931.3 | 4194304 |  320 
         3.1 |  0.31738400 | 40597.200 |    3.94 | 154866.0 |  5074.6 | 4194304 |  384 
         4.1 |  0.20311189 | 42291.639 |    3.78 | 161329.8 |  5286.5 | 2097152 |  512 
         5.6 |  0.27006888 | 43733.880 |    3.66 | 166831.5 |  5466.7 | 2097152 |  704 
         7.2 |  0.33761311 | 44525.480 |    3.59 | 169851.2 |  5565.7 | 2097152 |  896 
         9.2 |  0.21411800 | 45132.479 |    3.55 | 172166.7 |  5641.6 | 1048576 | 1152 
        12.3 |  0.25274801 | 25489.621 |    6.28 | 97235.2 |  3186.2 | 524288 | 1536 
        15.9 |  0.37799811 | 22014.658 |    7.27 | 83979.3 |  2751.8 | 524288 | 1984 
        20.5 |  0.20669007 | 25974.683 |    6.16 | 99085.6 |  3246.8 | 262144 | 2560 
        27.1 |  0.26044083 | 27313.458 |    5.86 | 104192.6 |  3414.2 | 262144 | 3392 
        35.3 |  0.35565209 | 26039.558 |    6.14 | 99333.0 |  3254.9 | 262144 | 4416 
        45.6 |  0.22668099 | 26348.433 |    6.07 | 100511.3 |  3293.6 | 131072 | 5696 
        59.4 |  0.28564191 | 27253.103 |    5.87 | 103962.3 |  3406.6 | 131072 | 7424 
        77.3 |  0.21787810 | 23254.834 |    6.88 | 88710.2 |  2906.9 |  65536 | 9664 
