COPY b[i] = a[i], 8 byte/it, 0 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.25375104 | 16925.910 |    8.32 | 64567.2 |  2115.7 | 4194304 |  128 
         1.5 |  0.37587690 | 17139.789 |    8.21 | 65383.1 |  2142.5 | 4194304 |  192 
         2.6 |  0.32842994 | 16346.589 |    8.61 | 62357.3 |  2043.3 | 2097152 |  320 
         3.1 |  0.38823390 | 16594.251 |    8.48 | 63302.0 |  2074.3 | 2097152 |  384 
         4.1 |  0.25516796 | 16831.922 |    8.37 | 64208.7 |  2104.0 | 1048576 |  512 
         5.6 |  0.34674597 | 17031.431 |    8.27 | 64969.8 |  2128.9 | 1048576 |  704 
         7.2 |  0.21939087 | 17129.685 |    8.22 | 65344.6 |  2141.2 | 524288 |  896 
         9.2 |  0.28022313 | 17242.824 |    8.17 | 65776.2 |  2155.4 | 524288 | 1152 
        12.3 |  0.37202287 | 17317.352 |    8.13 | 66060.5 |  2164.7 | 524288 | 1536 
        15.9 |  0.23945308 | 17376.054 |    8.10 | 66284.4 |  2172.0 | 262144 | 1984 
        20.5 |  0.34377384 | 15616.980 |    9.02 | 59574.0 |  1952.1 | 262144 | 2560 
        27.1 |  0.22629189 | 15717.619 |    8.96 | 59958.0 |  1964.7 | 131072 | 3392 
        35.3 |  0.29405689 | 15746.992 |    8.94 | 60070.0 |  1968.4 | 131072 | 4416 
        45.6 |  0.38152003 | 15654.981 |    8.99 | 59719.0 |  1956.9 | 131072 | 5696 
        59.4 |  0.24688196 | 15765.891 |    8.93 | 60142.1 |  1970.7 |  65536 | 7424 
        77.3 |  0.34239507 | 14797.874 |    9.51 | 56449.4 |  1849.7 |  65536 | 9664 
