COPY b[i] = a[i], 8 byte/it, 0 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.35864305 | 23951.209 |    5.88 | 91366.6 |  2993.9 | 8388608 |  128 
         1.5 |  0.26325893 | 24471.918 |    5.75 | 93353.0 |  3059.0 | 4194304 |  192 
         2.6 |  0.21557999 | 24903.560 |    5.65 | 94999.5 |  3112.9 | 2097152 |  320 
         3.1 |  0.25754809 | 25014.555 |    5.63 | 95423.0 |  3126.8 | 2097152 |  384 
         4.1 |  0.34148693 | 25154.505 |    5.60 | 95956.8 |  3144.3 | 2097152 |  512 
         5.6 |  0.23368692 | 25271.333 |    5.57 | 96402.5 |  3158.9 | 1048576 |  704 
         7.2 |  0.29664302 | 25337.501 |    5.56 | 96654.9 |  3167.2 | 1048576 |  896 
         9.2 |  0.38059187 | 25391.179 |    5.55 | 96859.7 |  3173.9 | 1048576 | 1152 
        12.3 |  0.25325704 | 25438.389 |    5.53 | 97039.8 |  3179.8 | 524288 | 1536 
        15.9 |  0.33782291 | 24632.726 |    5.72 | 93966.4 |  3079.1 | 524288 | 1984 
        20.5 |  0.30949211 | 17346.837 |    8.12 | 66172.9 |  2168.4 | 262144 | 2560 
        27.1 |  0.20251608 | 17562.901 |    8.02 | 66997.1 |  2195.4 | 131072 | 3392 
        35.3 |  0.26407194 | 17535.038 |    8.03 | 66890.9 |  2191.9 | 131072 | 4416 
        45.6 |  0.34434986 | 17344.827 |    8.12 | 66165.3 |  2168.1 | 131072 | 5696 
        59.4 |  0.22311187 | 17445.572 |    8.07 | 66549.6 |  2180.7 |  65536 | 7424 
        77.3 |  0.31475616 | 16097.284 |    8.75 | 61406.3 |  2012.2 |  65536 | 9664 
