COPY b[i] = a[i], 8 byte/it, 0 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.22209811 | 77352.612 |    2.07 | 295076.8 |  9669.1 | 16777216 |  128 
         1.5 |  0.32979512 | 78138.826 |    2.05 | 298076.0 |  9767.4 | 16777216 |  192 
         2.6 |  0.27381897 | 78427.132 |    2.04 | 299175.8 |  9803.4 | 8388608 |  320 
         3.1 |  0.32643104 | 78944.098 |    2.03 | 301147.8 |  9868.0 | 8388608 |  384 
         4.1 |  0.27678800 | 62068.693 |    2.58 | 236773.3 |  7758.6 | 4194304 |  512 
         5.6 |  0.31772304 | 74348.780 |    2.15 | 283618.1 |  9293.6 | 4194304 |  704 
         7.2 |  0.39877415 | 75392.979 |    2.12 | 287601.4 |  9424.1 | 4194304 |  896 
         9.2 |  0.25323319 | 76322.351 |    2.10 | 291146.7 |  9540.3 | 2097152 | 1152 
        12.3 |  0.20529914 | 62761.597 |    2.55 | 239416.5 |  7845.2 | 1048576 | 1536 
        15.9 |  0.23390913 | 71151.555 |    2.25 | 271421.6 |  8893.9 | 1048576 | 1984 
        20.5 |  0.31067777 | 34561.270 |    4.63 | 131840.8 |  4320.2 | 524288 | 2560 
        27.1 |  0.21133685 | 33659.722 |    4.75 | 128401.6 |  4207.5 | 262144 | 3392 
        35.3 |  0.27785993 | 33329.827 |    4.80 | 127143.2 |  4166.2 | 262144 | 4416 
        45.6 |  0.37055111 | 32236.789 |    4.96 | 122973.6 |  4029.6 | 262144 | 5696 
        59.4 |  0.22981596 | 33873.314 |    4.72 | 129216.4 |  4234.2 | 131072 | 7424 
        77.3 |  0.29008818 | 34932.270 |    4.58 | 133256.0 |  4366.5 | 131072 | 9664 
