COPY b[i] = a[i], 4 byte/it, 0 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s    |  MLUP/s | repeat  | size
         1.5 |  0.28940010 | 44059.018 |    3.63 | 168071.8 |  5507.4 | 8388608 |  190 
         2.0 |  0.33987784 | 48770.138 |    3.28 | 186043.3 |  6096.3 | 8388608 |  247 
         2.6 |  0.24588203 | 43805.448 |    3.65 | 167104.5 |  5475.7 | 4194304 |  321 
         3.3 |  0.30139804 | 46424.317 |    3.45 | 177094.7 |  5803.0 | 4194304 |  417 
         4.3 |  0.23864985 | 38102.900 |    4.20 | 145351.0 |  4762.9 | 2097152 |  542 
         5.6 |  0.25995207 | 45500.455 |    3.52 | 173570.5 |  5687.6 | 2097152 |  705 
         7.3 |  0.31472206 | 48883.472 |    3.27 | 186475.6 |  6110.4 | 2097152 |  917 
         9.5 |  0.24176598 | 41359.090 |    3.87 | 157772.4 |  5169.9 | 1048576 | 1192 
        12.4 |  0.35410714 | 36718.668 |    4.36 | 140070.6 |  4589.8 | 1048576 | 1550 
        16.1 |  0.35544896 | 47554.071 |    3.36 | 181404.4 |  5944.3 | 1048576 | 2015 
        21.0 |  0.21103120 | 26026.678 |    6.15 |  99283.9 |  3253.3 |  262144 | 2619 
        27.2 |  0.27128792 | 26321.860 |    6.08 | 100409.9 |  3290.2 |  262144 | 3405 
        35.4 |  0.35417008 | 26213.654 |    6.10 |  99997.2 |  3276.7 |  262144 | 4427 
        46.0 |  0.24310994 | 24826.642 |    6.44 |  94706.1 |  3103.3 |  131072 | 5756 
        59.9 |  0.29689693 | 26424.812 |    6.05 | 100802.7 |  3303.1 |  131072 | 7482 
        77.8 |  0.20789981 | 24529.842 |    6.52 |  93573.9 |  3066.2 |   65536 | 9727 
