SCALE b[i] = s * a[i], 16 byte/it, 1 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.27788806 | 15455.746 |    9.11 | 58959.0 |  1932.0 | 4194304 |  128 
         1.5 |  0.20510888 | 15704.954 |    8.97 | 59909.6 |  1963.1 | 2097152 |  192 
         2.6 |  0.35614300 | 15074.588 |    9.34 | 57505.0 |  1884.3 | 2097152 |  320 
         3.1 |  0.21129799 | 15244.941 |    9.24 | 58154.8 |  1905.6 | 1048576 |  384 
         4.1 |  0.27804303 | 15447.132 |    9.11 | 58926.1 |  1930.9 | 1048576 |  512 
         5.6 |  0.37917709 | 15574.728 |    9.04 | 59412.9 |  1946.8 | 1048576 |  704 
         7.2 |  0.23966813 | 15680.418 |    8.98 | 59816.0 |  1960.1 | 524288 |  896 
         9.2 |  0.30690384 | 15743.818 |    8.94 | 60057.9 |  1968.0 | 524288 | 1152 
        12.3 |  0.20378804 | 15806.744 |    8.91 | 60297.9 |  1975.8 | 262144 | 1536 
        15.9 |  0.26271009 | 15837.799 |    8.89 | 60416.4 |  1979.7 | 262144 | 1984 
        20.5 |  0.25086188 | 10700.528 |   13.16 | 40819.3 |  1337.6 | 131072 | 2560 
        27.1 |  0.33172894 | 10721.916 |   13.13 | 40900.9 |  1340.2 | 131072 | 3392 
        35.3 |  0.21755385 | 10642.219 |   13.23 | 40596.8 |  1330.3 |  65536 | 4416 
        45.6 |  0.28304195 | 10550.890 |   13.34 | 40248.5 |  1318.9 |  65536 | 5696 
        59.4 |  0.36845493 | 10563.881 |   13.33 | 40298.0 |  1320.5 |  65536 | 7424 
        77.3 |  0.24161410 | 10485.148 |   13.43 | 39997.7 |  1310.6 |  32768 | 9664 
