SCALE b[i] = s * a[i], 16 byte/it, 1 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.36891794 | 23284.133 |    6.05 | 88821.9 |  2910.5 | 8388608 |  128 
         1.5 |  0.26525211 | 24288.029 |    5.80 | 92651.5 |  3036.0 | 4194304 |  192 
         2.6 |  0.21651506 | 24796.007 |    5.68 | 94589.3 |  3099.5 | 2097152 |  320 
         3.1 |  0.26318598 | 24478.701 |    5.75 | 93378.8 |  3059.8 | 2097152 |  384 
         4.1 |  0.34304810 | 25040.030 |    5.62 | 95520.1 |  3130.0 | 2097152 |  512 
         5.6 |  0.24179578 | 24423.834 |    5.76 | 93169.5 |  3053.0 | 1048576 |  704 
         7.2 |  0.29256606 | 25690.583 |    5.48 | 98001.8 |  3211.3 | 1048576 |  896 
         9.2 |  0.37636399 | 25676.411 |    5.48 | 97947.7 |  3209.6 | 1048576 | 1152 
        12.3 |  0.25355506 | 25408.489 |    5.54 | 96925.7 |  3176.1 | 524288 | 1536 
        15.9 |  0.34507394 | 24115.119 |    5.84 | 91991.9 |  3014.4 | 524288 | 1984 
        20.5 |  0.31228089 | 17191.923 |    8.19 | 65582.0 |  2149.0 | 262144 | 2560 
        27.1 |  0.20680881 | 17198.348 |    8.19 | 65606.5 |  2149.8 | 131072 | 3392 
        35.3 |  0.26984406 | 17159.954 |    8.21 | 65460.0 |  2145.0 | 131072 | 4416 
        45.6 |  0.34907579 | 17110.006 |    8.23 | 65269.5 |  2138.8 | 131072 | 5696 
        59.4 |  0.22640800 | 17191.592 |    8.19 | 65580.7 |  2148.9 |  65536 | 7424 
        77.3 |  0.29891014 | 16950.643 |    8.31 | 64661.6 |  2118.8 |  65536 | 9664 
