SCALE b[i] = s * a[i], 16 byte/it, 1 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.25677013 | 16726.896 |    8.42 | 63808.0 |  2090.9 | 4194304 |  128 
         1.5 |  0.37865782 | 17013.912 |    8.28 | 64902.9 |  2126.7 | 4194304 |  192 
         2.6 |  0.31046700 | 17292.366 |    8.14 | 65965.1 |  2161.5 | 2097152 |  320 
         3.1 |  0.37668705 | 17102.927 |    8.23 | 65242.5 |  2137.9 | 2097152 |  384 
         4.1 |  0.24853492 | 17281.142 |    8.15 | 65922.3 |  2160.1 | 1048576 |  512 
         5.6 |  0.34644699 | 17046.129 |    8.26 | 65025.8 |  2130.8 | 1048576 |  704 
         7.2 |  0.22121477 | 16988.451 |    8.29 | 64805.8 |  2123.6 | 524288 |  896 
         9.2 |  0.28145194 | 17167.543 |    8.20 | 65489.0 |  2145.9 | 524288 | 1152 
        12.3 |  0.37012410 | 17406.191 |    8.09 | 66399.4 |  2175.8 | 524288 | 1536 
        15.9 |  0.24970698 | 16662.528 |    8.45 | 63562.5 |  2082.8 | 262144 | 1984 
        20.5 |  0.20190883 | 13294.885 |   10.59 | 50716.0 |  1661.9 | 131072 | 2560 
        27.1 |  0.26514006 | 13414.683 |   10.50 | 51173.0 |  1676.8 | 131072 | 3392 
        35.3 |  0.34538817 | 13406.688 |   10.50 | 51142.5 |  1675.8 | 131072 | 4416 
        45.6 |  0.22363687 | 13353.543 |   10.54 | 50939.7 |  1669.2 |  65536 | 5696 
        59.4 |  0.29742599 | 13086.665 |   10.76 | 49921.7 |  1635.8 |  65536 | 7424 
        77.3 |  0.39144182 | 12943.735 |   10.88 | 49376.4 |  1618.0 |  65536 | 9664 
