SCALE b[i] = s * a[i], 16 byte/it, 1 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.24716902 | 34753.282 |    4.60 | 132573.3 |  4344.2 | 8388608 |  128 
         1.5 |  0.31873202 | 40425.502 |    3.96 | 154211.1 |  5053.2 | 8388608 |  192 
         2.6 |  0.23058105 | 46566.786 |    3.44 | 177638.2 |  5820.8 | 4194304 |  320 
         3.1 |  0.26776695 | 48119.836 |    3.33 | 183562.6 |  6015.0 | 4194304 |  384 
         4.1 |  0.34855604 | 49288.686 |    3.25 | 188021.4 |  6161.1 | 4194304 |  512 
         5.6 |  0.22352600 | 52840.207 |    3.03 | 201569.4 |  6605.0 | 2097152 |  704 
         7.2 |  0.27751088 | 54168.635 |    2.95 | 206636.9 |  6771.1 | 2097152 |  896 
         9.2 |  0.34968710 | 55270.420 |    2.89 | 210839.9 |  6908.8 | 2097152 | 1152 
        12.3 |  0.24424005 | 52755.075 |    3.03 | 201244.6 |  6594.4 | 1048576 | 1536 
        15.9 |  0.29178500 | 57038.567 |    2.81 | 217584.9 |  7129.8 | 1048576 | 1984 
        20.5 |  0.32200289 | 33345.720 |    4.80 | 127203.8 |  4168.2 | 524288 | 2560 
        27.1 |  0.22085500 | 32209.095 |    4.97 | 122867.9 |  4026.1 | 262144 | 3392 
        35.3 |  0.27642202 | 33503.203 |    4.78 | 127804.6 |  4187.9 | 262144 | 4416 
        45.6 |  0.36866307 | 32401.883 |    4.94 | 123603.4 |  4050.2 | 262144 | 5696 
        59.4 |  0.22496295 | 34604.046 |    4.62 | 132004.0 |  4325.5 | 131072 | 7424 
        77.3 |  0.29710412 | 34107.364 |    4.69 | 130109.3 |  4263.4 | 131072 | 9664 
