SCALE b[i] = s * a[i], 16 byte/it, 1 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.22209311 | 77354.356 |    2.07 | 295083.5 |  9669.3 | 16777216 |  128 
         1.5 |  0.32977819 | 78142.837 |    2.05 | 298091.3 |  9767.9 | 16777216 |  192 
         2.6 |  0.30754709 | 69826.173 |    2.29 | 266365.7 |  8728.3 | 8388608 |  320 
         3.1 |  0.32642317 | 78946.001 |    2.03 | 301155.1 |  9868.3 | 8388608 |  384 
         4.1 |  0.27548194 | 62362.960 |    2.57 | 237895.8 |  7795.4 | 4194304 |  512 
         5.6 |  0.32368994 | 72978.234 |    2.19 | 278389.9 |  9122.3 | 4194304 |  704 
         7.2 |  0.20191097 | 74450.563 |    2.15 | 284006.4 |  9306.3 | 2097152 |  896 
         9.2 |  0.25598097 | 75503.085 |    2.12 | 288021.4 |  9437.9 | 2097152 | 1152 
        12.3 |  0.20600891 | 62545.362 |    2.56 | 238591.6 |  7818.2 | 1048576 | 1536 
        15.9 |  0.22573495 | 73728.053 |    2.17 | 281250.2 |  9216.0 | 1048576 | 1984 
        20.5 |  0.30873704 | 34778.523 |    4.60 | 132669.5 |  4347.3 | 524288 | 2560 
        27.1 |  0.21092200 | 33725.925 |    4.74 | 128654.2 |  4215.7 | 262144 | 3392 
        35.3 |  0.26684499 | 34705.629 |    4.61 | 132391.5 |  4338.2 | 262144 | 4416 
        45.6 |  0.37277007 | 32044.895 |    4.99 | 122241.6 |  4005.6 | 262144 | 5696 
        59.4 |  0.22969508 | 33891.140 |    4.72 | 129284.4 |  4236.4 | 131072 | 7424 
        77.3 |  0.29199505 | 34704.145 |    4.61 | 132385.8 |  4338.0 | 131072 | 9664 
