SCALE b[i] = s * a[i], 16 byte/it, 1 Flop/it
Checking for naples1. Frequency *must* be set to 2.30 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.21535707 | 19943.471 |    7.38 | 76078.3 |  2492.9 | 4194304 |  128 
         1.5 |  0.27366900 | 23541.033 |    6.25 | 89801.9 |  2942.6 | 4194304 |  192 
         2.6 |  0.39044499 | 27500.463 |    5.35 | 104905.9 |  3437.6 | 4194304 |  320 
         3.1 |  0.22441387 | 28707.900 |    5.13 | 109511.9 |  3588.5 | 2097152 |  384 
         4.1 |  0.28279614 | 30375.006 |    4.85 | 115871.5 |  3796.9 | 2097152 |  512 
         5.6 |  0.37039590 | 31887.934 |    4.62 | 121642.8 |  3986.0 | 2097152 |  704 
         7.2 |  0.22897601 | 32825.241 |    4.48 | 125218.4 |  4103.2 | 1048576 |  896 
         9.2 |  0.28735900 | 33629.281 |    4.38 | 128285.5 |  4203.7 | 1048576 | 1152 
        12.3 |  0.37495804 | 34363.584 |    4.28 | 131086.7 |  4295.4 | 1048576 | 1536 
        15.9 |  0.23884797 | 34840.150 |    4.23 | 132904.6 |  4355.0 | 524288 | 1984 
        20.5 |  0.20505500 | 26181.801 |    5.62 | 99875.6 |  3272.7 | 262144 | 2560 
        27.1 |  0.25182796 | 28247.617 |    5.21 | 107756.1 |  3531.0 | 262144 | 3392 
        35.3 |  0.32561612 | 28441.538 |    5.18 | 108495.9 |  3555.2 | 262144 | 4416 
        45.6 |  0.20822811 | 28683.394 |    5.13 | 109418.5 |  3585.4 | 131072 | 5696 
        59.4 |  0.27022481 | 28807.970 |    5.11 | 109893.7 |  3601.0 | 131072 | 7424 
        77.3 |  0.35217214 | 28774.106 |    5.12 | 109764.5 |  3596.8 | 131072 | 9664 
