SCALE b[i] = s * a[i], 16 byte/it, 1 Flop/it
Checking for naples1. Frequency *must* be set to 2.30 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.23721504 | 36211.593 |    4.06 | 138136.3 |  4526.4 | 8388608 |  128 
         1.5 |  0.35395002 | 36403.167 |    4.04 | 138867.1 |  4550.4 | 8388608 |  192 
         2.6 |  0.29374504 | 36553.530 |    4.03 | 139440.7 |  4569.2 | 4194304 |  320 
         3.1 |  0.35212207 | 36592.145 |    4.02 | 139588.0 |  4574.0 | 4194304 |  384 
         4.1 |  0.23444581 | 36639.318 |    4.02 | 139767.9 |  4579.9 | 2097152 |  512 
         5.6 |  0.33664203 | 35085.221 |    4.20 | 133839.5 |  4385.7 | 2097152 |  704 
         7.2 |  0.21211195 | 35435.027 |    4.15 | 135173.9 |  4429.4 | 1048576 |  896 
         9.2 |  0.27051902 | 35722.725 |    4.12 | 136271.4 |  4465.3 | 1048576 | 1152 
        12.3 |  0.35855293 | 35935.843 |    4.10 | 137084.4 |  4492.0 | 1048576 | 1536 
        15.9 |  0.23012710 | 36160.449 |    4.07 | 137941.2 |  4520.1 | 524288 | 1984 
        20.5 |  0.20276809 | 26477.091 |    5.56 | 101002.1 |  3309.6 | 262144 | 2560 
        27.1 |  0.22035813 | 32281.720 |    4.56 | 123145.0 |  4035.2 | 262144 | 3392 
        35.3 |  0.28646684 | 32328.431 |    4.55 | 123323.2 |  4041.1 | 262144 | 4416 
        45.6 |  0.36875010 | 32394.236 |    4.54 | 123574.2 |  4049.3 | 262144 | 5696 
        59.4 |  0.24003506 | 32431.214 |    4.54 | 123715.3 |  4053.9 | 131072 | 7424 
        77.3 |  0.31242990 | 32434.278 |    4.54 | 123727.0 |  4054.3 | 131072 | 9664 
