TRIAD a[i] = b[i] + c[i] * d[i], 32 byte/it, 2 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.36250591 | 11847.992 |   11.88 | 45196.5 |  1481.0 | 4194304 |  128 
         1.5 |  0.26972198 | 11942.762 |   11.79 | 45558.0 |  1492.8 | 2097152 |  192 
         2.6 |  0.21938777 | 12235.662 |   11.51 | 46675.3 |  1529.5 | 1048576 |  320 
         3.1 |  0.26238298 | 12276.808 |   11.47 | 46832.3 |  1534.6 | 1048576 |  384 
         4.1 |  0.34827018 | 12332.286 |   11.42 | 47043.9 |  1541.5 | 1048576 |  512 
         5.6 |  0.23853898 | 12378.648 |   11.37 | 47220.8 |  1547.3 | 524288 |  704 
         7.2 |  0.30302405 | 12401.974 |   11.35 | 47309.8 |  1550.2 | 524288 |  896 
         9.2 |  0.30764794 |  7852.869 |   17.93 | 29956.3 |   981.6 | 262144 | 1152 
        12.3 |  0.21325707 |  7552.447 |   18.64 | 28810.3 |   944.1 | 131072 | 1536 
        15.9 |  0.27461505 |  7575.604 |   18.59 | 28898.6 |   947.0 | 131072 | 1984 
        20.5 |  0.35539103 |  7553.242 |   18.64 | 28813.3 |   944.2 | 131072 | 2560 
        27.1 |  0.23242402 |  7651.468 |   18.40 | 29188.0 |   956.4 |  65536 | 3392 
        35.3 |  0.30354095 |  7627.491 |   18.46 | 29096.6 |   953.4 |  65536 | 4416 
        45.6 |  0.24231505 |  6162.111 |   22.85 | 23506.6 |   770.3 |  32768 | 5696 
        59.4 |  0.21933889 |  4436.416 |   31.74 | 16923.6 |   554.6 |  16384 | 7424 
        77.3 |  0.26891398 |  4710.353 |   29.89 | 17968.6 |   588.8 |  16384 | 9664 
