TRIAD a[i] = b[i] + c[i] * d[i], 32 byte/it, 2 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.24266601 |  8849.545 |   15.91 | 33758.3 |  1106.2 | 2097152 |  128 
         1.5 |  0.36206007 |  8896.937 |   15.83 | 33939.1 |  1112.1 | 2097152 |  192 
         2.6 |  0.31360292 |  8559.724 |   16.45 | 32652.8 |  1070.0 | 1048576 |  320 
         3.1 |  0.37165904 |  8667.152 |   16.25 | 33062.6 |  1083.4 | 1048576 |  384 
         4.1 |  0.24462581 |  8778.647 |   16.04 | 33487.9 |  1097.3 | 524288 |  512 
         5.6 |  0.33498502 |  8814.693 |   15.97 | 33625.4 |  1101.8 | 524288 |  704 
         7.2 |  0.21221709 |  8854.368 |   15.90 | 33776.7 |  1106.8 | 262144 |  896 
         9.2 |  0.30201793 |  7999.257 |   17.60 | 30514.7 |   999.9 | 262144 | 1152 
        12.3 |  0.20716381 |  7774.585 |   18.11 | 29657.7 |   971.8 | 131072 | 1536 
        15.9 |  0.26677895 |  7798.122 |   18.06 | 29747.5 |   974.8 | 131072 | 1984 
        20.5 |  0.34472299 |  7786.990 |   18.08 | 29705.0 |   973.4 | 131072 | 2560 
        27.1 |  0.22734594 |  7822.374 |   18.00 | 29840.0 |   977.8 |  65536 | 3392 
        35.3 |  0.29637694 |  7811.862 |   18.02 | 29799.9 |   976.5 |  65536 | 4416 
        45.6 |  0.38267708 |  7803.824 |   18.04 | 29769.2 |   975.5 |  65536 | 5696 
        59.4 |  0.27066207 |  7190.358 |   19.58 | 27429.0 |   898.8 |  32768 | 7424 
        77.3 |  0.20074987 |  6309.741 |   22.31 | 24069.8 |   788.7 |  16384 | 9664 
