TRIAD a[i] = b[i] + c[i] * d[i], 32 byte/it, 2 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.36060500 | 11910.448 |   11.82 | 45434.8 |  1488.8 | 4194304 |  128 
         1.5 |  0.26986504 | 11936.431 |   11.80 | 45533.9 |  1492.1 | 2097152 |  192 
         2.6 |  0.22377205 | 11995.933 |   11.74 | 45760.9 |  1499.5 | 1048576 |  320 
         3.1 |  0.26787281 | 12025.205 |   11.71 | 45872.5 |  1503.2 | 1048576 |  384 
         4.1 |  0.35667801 | 12041.581 |   11.69 | 45935.0 |  1505.2 | 1048576 |  512 
         5.6 |  0.24487400 | 12058.406 |   11.68 | 45999.2 |  1507.3 | 524288 |  704 
         7.2 |  0.31129694 | 12072.385 |   11.66 | 46052.5 |  1509.0 | 524288 |  896 
         9.2 |  0.29042888 |  8318.453 |   16.93 | 31732.4 |  1039.8 | 262144 | 1152 
        12.3 |  0.20275903 |  7943.482 |   17.73 | 30302.0 |   992.9 | 131072 | 1536 
        15.9 |  0.26127696 |  7962.335 |   17.68 | 30373.9 |   995.3 | 131072 | 1984 
        20.5 |  0.33771086 |  7948.677 |   17.71 | 30321.8 |   993.6 | 131072 | 2560 
        27.1 |  0.22154999 |  8027.014 |   17.54 | 30620.6 |  1003.4 |  65536 | 3392 
        35.3 |  0.28869390 |  8019.760 |   17.56 | 30593.0 |  1002.5 |  65536 | 4416 
        45.6 |  0.37551498 |  7952.664 |   17.70 | 30337.0 |   994.1 |  65536 | 5696 
        59.4 |  0.27403378 |  7101.887 |   19.83 | 27091.6 |   887.7 |  32768 | 7424 
        77.3 |  0.21487713 |  5894.903 |   23.89 | 22487.3 |   736.9 |  16384 | 9664 
