TRIAD a[i] = b[i] + c[i] * d[i], 32 byte/it, 2 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.30461001 | 28199.777 |    5.67 | 107573.6 |  3525.0 | 8388608 |  128 
         1.5 |  0.21585011 | 29846.873 |    5.36 | 113856.8 |  3730.9 | 4194304 |  192 
         2.6 |  0.32920814 | 32615.896 |    4.91 | 124419.8 |  4077.0 | 4194304 |  320 
         3.1 |  0.37748384 | 34133.651 |    4.69 | 130209.5 |  4266.7 | 4194304 |  384 
         4.1 |  0.24212408 | 35477.407 |    4.51 | 135335.6 |  4434.7 | 2097152 |  512 
         5.6 |  0.32278013 | 36591.967 |    4.37 | 139587.3 |  4574.0 | 2097152 |  704 
         7.2 |  0.20201111 | 37206.829 |    4.30 | 141932.8 |  4650.9 | 1048576 |  896 
         9.2 |  0.21320391 | 22662.991 |    7.06 | 86452.4 |  2832.9 | 524288 | 1152 
        12.3 |  0.30289602 | 21269.513 |    7.52 | 81136.8 |  2658.7 | 524288 | 1536 
        15.9 |  0.39344883 | 21150.143 |    7.56 | 80681.4 |  2643.8 | 524288 | 1984 
        20.5 |  0.30685806 | 17495.741 |    9.15 | 66741.0 |  2187.0 | 262144 | 2560 
        27.1 |  0.37872791 | 18782.718 |    8.52 | 71650.4 |  2347.8 | 262144 | 3392 
        35.3 |  0.24987698 | 18531.166 |    8.63 | 70690.8 |  2316.4 | 131072 | 4416 
        45.6 |  0.29468489 | 20268.053 |    7.89 | 77316.5 |  2533.5 | 131072 | 5696 
        59.4 |  0.20832205 | 18684.120 |    8.56 | 71274.3 |  2335.5 |  65536 | 7424 
        77.3 |  0.26989794 | 18772.723 |    8.52 | 71612.3 |  2346.6 |  65536 | 9664 
