TRIAD a[i] = b[i] + c[i] * d[i], 32 byte/it, 2 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.21872997 | 39271.868 |    4.07 | 149810.3 |  4909.0 | 8388608 |  128 
         1.5 |  0.32641602 | 39473.865 |    4.05 | 150580.8 |  4934.2 | 8388608 |  192 
         2.6 |  0.28716111 | 37391.617 |    4.28 | 142637.7 |  4674.0 | 4194304 |  320 
         3.1 |  0.32473683 | 39677.981 |    4.03 | 151359.5 |  4959.7 | 4194304 |  384 
         4.1 |  0.22770190 | 37724.474 |    4.24 | 143907.4 |  4715.6 | 2097152 |  512 
         5.6 |  0.30902481 | 38220.750 |    4.19 | 145800.6 |  4777.6 | 2097152 |  704 
         7.2 |  0.38997889 | 38546.665 |    4.15 | 147043.9 |  4818.3 | 2097152 |  896 
         9.2 |  0.21614885 | 22354.216 |    7.16 | 85274.6 |  2794.3 | 524288 | 1152 
        12.3 |  0.32228899 | 19989.671 |    8.00 | 76254.5 |  2498.7 | 524288 | 1536 
        15.9 |  0.20823312 | 19981.210 |    8.01 | 76222.3 |  2497.7 | 262144 | 1984 
        20.5 |  0.30399203 | 17660.690 |    9.06 | 67370.2 |  2207.6 | 262144 | 2560 
        27.1 |  0.35472083 | 20053.910 |    7.98 | 76499.6 |  2506.7 | 262144 | 3392 
        35.3 |  0.24118614 | 19198.912 |    8.33 | 73238.0 |  2399.9 | 131072 | 4416 
        45.6 |  0.29504490 | 20243.322 |    7.90 | 77222.1 |  2530.4 | 131072 | 5696 
        59.4 |  0.20528388 | 18960.642 |    8.44 | 72329.1 |  2370.1 |  65536 | 7424 
        77.3 |  0.26674390 | 18994.696 |    8.42 | 72459.0 |  2374.3 |  65536 | 9664 
