2D5PT b[j][i] = c0 * (a[j][i] + a[j][i-1] + ...), 64 byte/it, 5 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
        30.0 |  0.20440602 |  3201.038 |   43.99 | 12211.0 |   400.1 |  65536 | 1248 
        28.4 |  0.38407683 |  3232.463 |   43.56 | 12330.9 |   404.1 | 131072 | 1184 
        26.9 |  0.35248184 |  3331.817 |   42.26 | 12709.9 |   416.5 | 131072 | 1120 
        25.4 |  0.31285691 |  3539.306 |   39.78 | 13501.4 |   442.4 | 131072 | 1056 
        23.8 |  0.27274203 |  3813.814 |   36.92 | 14548.5 |   476.7 | 131072 |  992 
        22.3 |  0.25535488 |  3810.691 |   36.95 | 14536.6 |   476.3 | 131072 |  928 
        20.8 |  0.23759604 |  3813.067 |   36.93 | 14545.7 |   476.6 | 131072 |  864 
        19.2 |  0.21998096 |  3813.334 |   36.92 | 14546.7 |   476.7 | 131072 |  800 
        17.7 |  0.20272207 |  3806.946 |   36.99 | 14522.3 |   475.9 | 131072 |  736 
        16.1 |  0.36850500 |  3824.334 |   36.82 | 14588.7 |   478.0 | 262144 |  672 
        14.6 |  0.33366680 |  3821.382 |   36.85 | 14577.4 |   477.7 | 262144 |  608 
        13.1 |  0.29868197 |  3819.617 |   36.86 | 14570.7 |   477.5 | 262144 |  544 
        11.5 |  0.26666284 |  3774.928 |   37.30 | 14400.2 |   471.9 | 262144 |  480 
        10.0 |  0.23140717 |  3770.044 |   37.35 | 14381.6 |   471.3 | 262144 |  416 
         8.5 |  0.39223003 |  3764.105 |   37.41 | 14358.9 |   470.5 | 524288 |  352 
         6.9 |  0.32185793 |  3753.083 |   37.52 | 14316.9 |   469.1 | 524288 |  288 
         5.4 |  0.29501104 |  3184.708 |   44.21 | 12148.7 |   398.1 | 524288 |  224 
