2D5PT b[j][i] = c0 * (a[j][i] + a[j][i-1] + ...), 64 byte/it, 5 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
        30.0 |  0.34171414 |  3829.584 |   36.77 | 14608.7 |   478.7 | 131072 | 1248 
        28.4 |  0.32239604 |  3850.897 |   36.56 | 14690.0 |   481.4 | 131072 | 1184 
        26.9 |  0.29617095 |  3965.295 |   35.51 | 15126.4 |   495.7 | 131072 | 1120 
        25.4 |  0.25726295 |  4304.142 |   32.71 | 16419.0 |   538.0 | 131072 | 1056 
        23.8 |  0.22548819 |  4613.046 |   30.52 | 17597.4 |   576.6 | 131072 |  992 
        22.3 |  0.20881414 |  4660.022 |   30.21 | 17776.6 |   582.5 | 131072 |  928 
        20.8 |  0.38781500 |  4672.174 |   30.14 | 17822.9 |   584.0 | 262144 |  864 
        19.2 |  0.35911608 |  4671.809 |   30.14 | 17821.5 |   584.0 | 262144 |  800 
        17.7 |  0.33043194 |  4671.170 |   30.14 | 17819.1 |   583.9 | 262144 |  736 
        16.1 |  0.30180120 |  4669.584 |   30.15 | 17813.1 |   583.7 | 262144 |  672 
        14.6 |  0.27312088 |  4668.513 |   30.16 | 17809.0 |   583.6 | 262144 |  608 
        13.1 |  0.24448395 |  4666.362 |   30.17 | 17800.8 |   583.3 | 262144 |  544 
        11.5 |  0.20829010 |  4832.841 |   29.13 | 18435.8 |   604.1 | 262144 |  480 
        10.0 |  0.36140299 |  4827.936 |   29.16 | 18417.1 |   603.5 | 524288 |  416 
         8.5 |  0.30625987 |  4820.726 |   29.21 | 18389.6 |   602.6 | 524288 |  352 
         6.9 |  0.25103092 |  4811.995 |   29.26 | 18356.3 |   601.5 | 524288 |  288 
         5.4 |  0.39180493 |  4795.877 |   29.36 | 18294.8 |   599.5 | 1048576 |  224 
