2D5PT b[j][i] = c0 * (a[j][i] + a[j][i-1] + ...), 64 byte/it, 5 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
        30.0 |  0.20669103 | 12662.600 |   12.64 | 48304.0 |  1582.8 | 262144 | 1248 
        28.4 |  0.38899398 | 12766.408 |   12.53 | 48700.0 |  1595.8 | 524288 | 1184 
        26.9 |  0.34433007 | 13642.783 |   11.73 | 52043.1 |  1705.3 | 524288 | 1120 
        25.4 |  0.29034090 | 15255.119 |   10.49 | 58193.7 |  1906.9 | 524288 | 1056 
        23.8 |  0.24843001 | 16748.176 |    9.55 | 63889.2 |  2093.5 | 524288 |  992 
        22.3 |  0.22567010 | 17247.806 |    9.28 | 65795.2 |  2156.0 | 524288 |  928 
        20.8 |  0.25307083 | 14319.622 |   11.17 | 54625.0 |  1790.0 | 524288 |  864 
        19.2 |  0.38669515 | 17354.462 |    9.22 | 66202.0 |  2169.3 | 1048576 |  800 
        17.7 |  0.36532903 | 16899.877 |    9.47 | 64467.9 |  2112.5 | 1048576 |  736 
        16.1 |  0.20190692 | 13959.761 |   11.46 | 53252.3 |  1745.0 | 524288 |  672 
        14.6 |  0.29612994 | 17223.093 |    9.29 | 65700.9 |  2152.9 | 1048576 |  608 
        13.1 |  0.26754999 | 17056.262 |    9.38 | 65064.5 |  2132.0 | 1048576 |  544 
        11.5 |  0.23808289 | 16912.311 |    9.46 | 64515.3 |  2114.0 | 1048576 |  480 
        10.0 |  0.20786190 | 16788.362 |    9.53 | 64042.5 |  2098.5 | 1048576 |  416 
         8.5 |  0.20242190 | 14587.305 |   10.97 | 55646.2 |  1823.4 | 1048576 |  352 
         6.9 |  0.29612207 | 16317.048 |    9.81 | 62244.6 |  2039.6 | 2097152 |  288 
         5.4 |  0.22428417 | 16755.959 |    9.55 | 63918.9 |  2094.5 | 2097152 |  224 
