2D5PT b[j][i] = c0 * (a[j][i] + a[j][i-1] + ...), 64 byte/it, 5 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
        30.0 |  0.22148490 | 11816.813 |   13.54 | 45077.6 |  1477.1 | 262144 | 1248 
        28.4 |  0.21274900 | 11671.161 |   13.71 | 44521.9 |  1458.9 | 262144 | 1184 
        26.9 |  0.37202621 | 12627.123 |   12.67 | 48168.6 |  1578.4 | 524288 | 1120 
        25.4 |  0.31586695 | 14022.312 |   11.41 | 53490.9 |  1752.8 | 524288 | 1056 
        23.8 |  0.27226400 | 15282.041 |   10.47 | 58296.4 |  1910.3 | 524288 |  992 
        22.3 |  0.25552702 | 15232.495 |   10.50 | 58107.4 |  1904.1 | 524288 |  928 
        20.8 |  0.27410889 | 13220.581 |   12.10 | 50432.5 |  1652.6 | 524288 |  864 
        19.2 |  0.21200800 | 15826.965 |   10.11 | 60375.1 |  1978.4 | 524288 |  800 
        17.7 |  0.39105701 | 15788.019 |   10.13 | 60226.5 |  1973.5 | 1048576 |  736 
        16.1 |  0.21537519 | 13086.801 |   12.23 | 49922.2 |  1635.9 | 524288 |  672 
        14.6 |  0.32524610 | 15681.276 |   10.20 | 59819.3 |  1960.2 | 1048576 |  608 
        13.1 |  0.29079890 | 15692.641 |   10.20 | 59862.7 |  1961.6 | 1048576 |  544 
        11.5 |  0.26079607 | 15439.388 |   10.36 | 58896.6 |  1929.9 | 1048576 |  480 
        10.0 |  0.22721696 | 15358.277 |   10.42 | 58587.2 |  1919.8 | 1048576 |  416 
         8.5 |  0.39887786 | 14805.485 |   10.81 | 56478.4 |  1850.7 | 2097152 |  352 
