3D7PT b[k][j][i] = c0 * a[k][j][i] + c1 * (...), 32 byte/it, 8 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
        29.3 |  0.25428009 |  2507.212 |   56.16 |  9564.3 |   313.4 | 131072 |  608 
        27.7 |  0.24030304 |  2513.409 |   56.02 |  9587.9 |   314.2 | 131072 |  576 
        26.2 |  0.22827196 |  2498.885 |   56.35 |  9532.5 |   312.4 | 131072 |  544 
        24.7 |  0.21354508 |  2514.087 |   56.00 |  9590.5 |   314.3 | 131072 |  512 
        23.1 |  0.20106578 |  2503.243 |   56.25 |  9549.1 |   312.9 | 131072 |  480 
        21.6 |  0.37471700 |  2507.290 |   56.16 |  9564.6 |   313.4 | 262144 |  448 
        20.1 |  0.34809303 |  2506.270 |   56.18 |  9560.7 |   313.3 | 262144 |  416 
        18.5 |  0.32145500 |  2505.192 |   56.20 |  9556.5 |   313.1 | 262144 |  384 
        17.0 |  0.29492092 |  2503.035 |   56.25 |  9548.3 |   312.9 | 262144 |  352 
        15.5 |  0.26833415 |  2500.944 |   56.30 |  9540.3 |   312.6 | 262144 |  320 
