3D7PT b[k][j][i] = c0 * a[k][j][i] + c1 * (...), 32 byte/it, 8 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
        29.3 |  0.25508094 |  2499.341 |   56.33 |  9534.2 |   312.4 | 131072 |  608 
        27.7 |  0.24161816 |  2499.728 |   56.33 |  9535.7 |   312.5 | 131072 |  576 
        26.2 |  0.22831607 |  2498.402 |   56.36 |  9530.6 |   312.3 | 131072 |  544 
        24.7 |  0.21406603 |  2507.969 |   56.14 |  9567.1 |   313.5 | 131072 |  512 
        23.1 |  0.20198202 |  2491.888 |   56.50 |  9505.8 |   311.5 | 131072 |  480 
        21.6 |  0.37689495 |  2492.801 |   56.48 |  9509.3 |   311.6 | 262144 |  448 
        20.1 |  0.34860587 |  2502.583 |   56.26 |  9546.6 |   312.8 | 262144 |  416 
        18.5 |  0.32209897 |  2500.183 |   56.32 |  9537.4 |   312.5 | 262144 |  384 
        17.0 |  0.29672909 |  2487.783 |   56.60 |  9490.1 |   311.0 | 262144 |  352 
        15.5 |  0.26969814 |  2488.295 |   56.58 |  9492.1 |   311.0 | 262144 |  320 
