3D7PT b[k][j][i] = c0 * a[k][j][i] + c1 * (...), 32 byte/it, 8 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
        29.3 |  0.35790610 |  3562.578 |   39.52 | 13590.2 |   445.3 | 262144 |  608 
        27.7 |  0.33877802 |  3565.637 |   39.49 | 13601.8 |   445.7 | 262144 |  576 
        26.2 |  0.31762600 |  3591.805 |   39.20 | 13701.6 |   449.0 | 262144 |  544 
        24.7 |  0.29529285 |  3636.193 |   38.72 | 13871.0 |   454.5 | 262144 |  512 
        23.1 |  0.28037786 |  3590.273 |   39.22 | 13695.8 |   448.8 | 262144 |  480 
        21.6 |  0.26173091 |  3589.657 |   39.22 | 13693.5 |   448.7 | 262144 |  448 
        20.1 |  0.24315286 |  3587.929 |   39.24 | 13686.9 |   448.5 | 262144 |  416 
        18.5 |  0.22454500 |  3586.392 |   39.26 | 13681.0 |   448.3 | 262144 |  384 
        17.0 |  0.20594501 |  3584.440 |   39.28 | 13673.6 |   448.1 | 262144 |  352 
        15.5 |  0.37462902 |  3582.684 |   39.30 | 13666.9 |   447.8 | 524288 |  320 
