3D7PT b[k][j][i] = c0 * a[k][j][i] + c1 * (...), 32 byte/it, 8 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
        29.3 |  0.30459595 |  8372.196 |   19.11 | 31937.4 |  1046.5 | 524288 |  608 
        27.7 |  0.29103208 |  8301.212 |   19.27 | 31666.6 |  1037.7 | 524288 |  576 
        26.2 |  0.27374482 |  8335.140 |   19.20 | 31796.0 |  1041.9 | 524288 |  544 
        24.7 |  0.25656796 |  8370.038 |   19.12 | 31929.2 |  1046.3 | 524288 |  512 
        23.1 |  0.25287819 |  7961.406 |   20.10 | 30370.4 |   995.2 | 524288 |  480 
        21.6 |  0.23698997 |  7928.809 |   20.18 | 30246.0 |   991.1 | 524288 |  448 
        20.1 |  0.20683885 |  8435.700 |   18.97 | 32179.6 |  1054.5 | 524288 |  416 
        18.5 |  0.38040900 |  8467.795 |   18.90 | 32302.1 |  1058.5 | 1048576 |  384 
        17.0 |  0.36205792 |  8155.574 |   19.62 | 31111.0 |  1019.4 | 1048576 |  352 
        15.5 |  0.32998204 |  8134.850 |   19.67 | 31032.0 |  1016.9 | 1048576 |  320 
