3D7PT b[k][j][i] = c0 * a[k][j][i] + c1 * (...), 32 byte/it, 8 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
        29.3 |  0.22181511 | 11496.678 |   13.92 | 43856.3 |  1437.1 | 524288 |  608 
        27.7 |  0.21229410 | 11380.058 |   14.06 | 43411.5 |  1422.5 | 524288 |  576 
        26.2 |  0.39744306 | 11481.903 |   13.93 | 43800.0 |  1435.2 | 1048576 |  544 
        24.7 |  0.37045503 | 11593.762 |   13.80 | 44226.7 |  1449.2 | 1048576 |  512 
        23.1 |  0.35175109 | 11447.106 |   13.98 | 43667.2 |  1430.9 | 1048576 |  480 
        21.6 |  0.33313584 | 11280.973 |   14.18 | 43033.5 |  1410.1 | 1048576 |  448 
        20.1 |  0.30093288 | 11596.144 |   13.80 | 44235.8 |  1449.5 | 1048576 |  416 
        18.5 |  0.30549097 | 10544.421 |   15.17 | 40223.8 |  1318.1 | 1048576 |  384 
        17.0 |  0.26108694 | 11309.604 |   14.15 | 43142.7 |  1413.7 | 1048576 |  352 
        15.5 |  0.23918009 | 11223.152 |   14.26 | 42812.9 |  1402.9 | 1048576 |  320 
