TRIAD a[i] = b[i] + s * c[i], 24 byte/it, 2 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.38622689 | 11120.322 |   12.66 | 42420.7 |  1390.0 | 4194304 |  128 
         1.5 |  0.28516197 | 11296.126 |   12.46 | 43091.3 |  1412.0 | 2097152 |  192 
         2.6 |  0.23719406 | 11317.124 |   12.44 | 43171.4 |  1414.6 | 1048576 |  320 
         3.1 |  0.28138304 | 11447.831 |   12.30 | 43670.0 |  1431.0 | 1048576 |  384 
         4.1 |  0.37344408 | 11500.965 |   12.24 | 43872.7 |  1437.6 | 1048576 |  512 
         5.6 |  0.25516510 | 11572.076 |   12.17 | 44144.0 |  1446.5 | 524288 |  704 
         7.2 |  0.32335591 | 11622.167 |   12.11 | 44335.0 |  1452.8 | 524288 |  896 
         9.2 |  0.20748782 | 11643.667 |   12.09 | 44417.1 |  1455.5 | 262144 | 1152 
        12.3 |  0.32947803 |  9776.754 |   14.40 | 37295.4 |  1222.1 | 262144 | 1536 
        15.9 |  0.22602582 |  9204.147 |   15.30 | 35111.0 |  1150.5 | 131072 | 1984 
        20.5 |  0.29632187 |  9058.915 |   15.54 | 34557.0 |  1132.4 | 131072 | 2560 
        27.1 |  0.38793516 |  9168.465 |   15.36 | 34974.9 |  1146.1 | 131072 | 3392 
        35.3 |  0.25178790 |  9195.262 |   15.31 | 35077.1 |  1149.4 |  65536 | 4416 
        45.6 |  0.33222008 |  8989.055 |   15.66 | 34290.5 |  1123.6 |  65536 | 5696 
        59.4 |  0.21129107 |  9210.787 |   15.29 | 35136.4 |  1151.3 |  32768 | 7424 
        77.3 |  0.35222602 |  7192.426 |   19.58 | 27436.9 |   899.1 |  32768 | 9664 
