TRIAD a[i] = b[i] + s * c[i], 24 byte/it, 2 Flop/it
Checking for warmup. Frequency *must* be set to 2.20 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.30904317 | 13897.629 |   10.13 | 53015.2 |  1737.2 | 4194304 |  128 
         1.5 |  0.23083401 | 13954.727 |   10.09 | 53233.1 |  1744.3 | 2097152 |  192 
         2.6 |  0.38332200 | 14005.742 |   10.05 | 53427.7 |  1750.7 | 2097152 |  320 
         3.1 |  0.22702098 | 14189.109 |    9.92 | 54127.2 |  1773.6 | 1048576 |  384 
         4.1 |  0.30429387 | 14114.538 |    9.98 | 53842.7 |  1764.3 | 1048576 |  512 
         5.6 |  0.20913005 | 14119.396 |    9.97 | 53861.2 |  1764.9 | 524288 |  704 
         7.2 |  0.26779914 | 14033.265 |   10.03 | 53532.7 |  1754.2 | 524288 |  896 
         9.2 |  0.34413004 | 14040.734 |   10.03 | 53561.1 |  1755.1 | 524288 | 1152 
        12.3 |  0.28919911 | 11138.435 |   12.64 | 42489.8 |  1392.3 | 262144 | 1536 
        15.9 |  0.20168686 | 10314.875 |   13.65 | 39348.1 |  1289.4 | 131072 | 1984 
        20.5 |  0.25833893 | 10390.825 |   13.55 | 39637.9 |  1298.9 | 131072 | 2560 
        27.1 |  0.34355211 | 10352.927 |   13.60 | 39493.3 |  1294.1 | 131072 | 3392 
        35.3 |  0.22312713 | 10376.398 |   13.57 | 39582.8 |  1297.0 |  65536 | 4416 
        45.6 |  0.28778791 | 10376.893 |   13.57 | 39584.7 |  1297.1 |  65536 | 5696 
        59.4 |  0.37376499 | 10413.801 |   13.52 | 39725.5 |  1301.7 |  65536 | 7424 
        77.3 |  0.26180911 |  9676.362 |   14.55 | 36912.4 |  1209.5 |  32768 | 9664 
