TRIAD a[i] = b[i] + s * c[i], 24 byte/it, 2 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.26487184 | 32430.532 |    4.93 | 123712.7 |  4053.8 | 8388608 |  128 
         1.5 |  0.36317110 | 35478.874 |    4.51 | 135341.2 |  4434.9 | 8388608 |  192 
         2.6 |  0.27175021 | 39512.088 |    4.05 | 150726.7 |  4939.0 | 4194304 |  320 
         3.1 |  0.31538105 | 40855.029 |    3.92 | 155849.6 |  5106.9 | 4194304 |  384 
         4.1 |  0.20296383 | 42322.490 |    3.78 | 161447.5 |  5290.3 | 2097152 |  512 
         5.6 |  0.27003813 | 43738.861 |    3.66 | 166850.5 |  5467.4 | 2097152 |  704 
         7.2 |  0.33751607 | 44538.281 |    3.59 | 169900.1 |  5567.3 | 2097152 |  896 
         9.2 |  0.21377397 | 45205.114 |    3.54 | 172443.8 |  5650.6 | 1048576 | 1152 
        12.3 |  0.25010300 | 25759.191 |    6.21 | 98263.5 |  3219.9 | 524288 | 1536 
        15.9 |  0.37892318 | 21960.914 |    7.29 | 83774.2 |  2745.1 | 524288 | 1984 
        20.5 |  0.20155811 | 26636.036 |    6.01 | 101608.4 |  3329.5 | 262144 | 2560 
        27.1 |  0.26126003 | 27227.814 |    5.88 | 103865.9 |  3403.5 | 262144 | 3392 
        35.3 |  0.34267521 | 27025.659 |    5.92 | 103094.7 |  3378.2 | 262144 | 4416 
        45.6 |  0.22736001 | 26269.742 |    6.09 | 100211.1 |  3283.7 | 131072 | 5696 
        59.4 |  0.28617501 | 27202.334 |    5.88 | 103768.7 |  3400.3 | 131072 | 7424 
        77.3 |  0.21211600 | 23886.549 |    6.70 | 91120.0 |  2985.8 |  65536 | 9664 
