TRIAD a[i] = b[i] + s * c[i], 24 byte/it, 2 Flop/it
Checking for casclakesp2. Frequency *must* be set to 2.50 GHz for valid cy/CL.
Size (KByte) |   runtime   |  MFlop/s  |  cy/CL  |  MB/s   |  MLUP/s | repeat | size
         1.0 |  0.32977915 | 52095.074 |    3.07 | 198726.9 |  6511.9 | 16777216 |  128 
         1.5 |  0.24566007 | 52450.128 |    3.05 | 200081.4 |  6556.3 | 8388608 |  192 
         2.6 |  0.20358205 | 52742.461 |    3.03 | 201196.5 |  6592.8 | 4194304 |  320 
         3.1 |  0.24397206 | 52813.022 |    3.03 | 201465.7 |  6601.6 | 4194304 |  384 
         4.1 |  0.34992599 | 49095.721 |    3.26 | 187285.3 |  6137.0 | 4194304 |  512 
         5.6 |  0.23668098 | 49903.291 |    3.21 | 190365.9 |  6237.9 | 2097152 |  704 
         7.2 |  0.29666090 | 50671.947 |    3.16 | 193298.1 |  6334.0 | 2097152 |  896 
         9.2 |  0.37762499 | 51181.340 |    3.13 | 195241.3 |  6397.7 | 2097152 | 1152 
        12.3 |  0.25384021 | 25379.947 |    6.30 | 96816.8 |  3172.5 | 524288 | 1536 
        15.9 |  0.38858414 | 21414.922 |    7.47 | 81691.4 |  2676.9 | 524288 | 1984 
        20.5 |  0.20420909 | 26290.255 |    6.09 | 100289.4 |  3286.3 | 262144 | 2560 
        27.1 |  0.27301288 | 26055.693 |    6.14 | 99394.6 |  3257.0 | 262144 | 3392 
        35.3 |  0.33799505 | 27399.878 |    5.84 | 104522.2 |  3425.0 | 262144 | 4416 
        45.6 |  0.22755098 | 26247.695 |    6.10 | 100127.0 |  3281.0 | 131072 | 5696 
        59.4 |  0.28409886 | 27401.124 |    5.84 | 104527.0 |  3425.1 | 131072 | 7424 
        77.3 |  0.24197006 | 20939.447 |    7.64 | 79877.7 |  2617.4 |  65536 | 9664 
